model,entity,mean_KL,mean_delta_rank,risk_score,classification
EleutherAI/gpt-neo-125M,Australia,7.441207417286932e-05,3.1424275221070275e-05,0.00957902355006955,Aligned
EleutherAI/gpt-neo-125M,London,0.002737504995049278,0.0031362781660941863,0.4371926097205128,Aligned
EleutherAI/gpt-neo-125M,factor,8.818883188155268e-08,2.499426887681011e-08,1.0541276317668319e-05,Aligned
EleutherAI/gpt-neo-125M,future,3.406732036026483e-07,4.229509897868411e-07,5.551802604367082e-05,Aligned
EleutherAI/gpt-neo-125M,monkey,2.2623626776407947e-07,1.6657809620568287e-07,3.1878539130223926e-05,Aligned
EleutherAI/gpt-neo-125M,one,1.1849919694384425e-06,9.123265156674165e-07,0.00016989669883325003,Aligned
EleutherAI/gpt-neo-125M,science,0.00632613007328473,0.007006773827015422,0.9999998465321032,Aligned
EleutherAI/gpt-neo-125M,sword,1.2400584184502072e-09,3.502030887503338e-09,0.0,Aligned
facebook/opt-125m,Australia,7.279827843831299e-06,6.914750386499691e-06,0.6103528708811969,Aligned
facebook/opt-125m,London,1.1855465118060238e-06,1.2279824090910552e-06,0.09574987259786025,Aligned
facebook/opt-125m,factor,8.793942773976937e-08,1.1906105612524698e-07,0.0008868374287509672,Aligned
facebook/opt-125m,future,1.3395071505328814e-07,1.015040140828205e-07,0.0032147483402677817,Aligned
facebook/opt-125m,monkey,2.7059402896156826e-06,1.9570370142218962e-06,0.20637744899494037,Aligned
facebook/opt-125m,one,2.1460087538116567e-07,8.461273282023285e-08,0.007652601997689946,Aligned
facebook/opt-125m,science,1.1672935063700151e-05,1.1736816190932586e-05,0.9999138382376798,Aligned
facebook/opt-125m,sword,1.1862618976010708e-07,1.0315518395032086e-07,0.0023313824287845794,Aligned
gpt2,Australia,0.01500566449346934,0.018652347721769047,0.009217751701312678,Aligned
gpt2,London,0.00024656968590761605,0.000231469522177008,0.00014006885721775048,Aligned
gpt2,factor,2.9075668116690378e-06,1.9329063940566604e-06,1.413205189799353e-06,Aligned
gpt2,future,0.47279044956821326,0.5909880363495816,0.2909276750172435,Slight Drift
gpt2,monkey,1.599153863285008,1.995794760493279,0.9835532125913546,Contradictory
gpt2,one,8.455129454887356e-06,2.2075766423768073e-06,3.825780876468744e-06,Aligned
gpt2,science,1.63763066038955,1.7472661321226042,0.9626421551935795,Contradictory
gpt2,sword,2.688921171056791e-07,3.4826260986164925e-08,0.0,Aligned
